GRHL2	2404.625490783929
RAB25	2307.126942673933
BGN	2282.1209789237405
TMEM125	2232.705155542861
KLK3	2218.0400566852354
MGP	2145.7115642701096
AZGP1	2122.634524336297
TMPRSS2	2117.372388249679
COL1A2	2096.3517493984377
AR	2081.5096184178974
ZG16B	2057.9575046450445
AEBP1	2022.502571492918
C1QB	2022.502571492918
TNFRSF14	2004.746105334581
KLK2	1991.6753750651237
IL20RA	1977.3064063259724
LAPTM5	1973.3528975531153
AP1M2	1964.5421401308329
LOC100133445	1947.5148349091928
C1QA	1934.5427263809147
TSPYL5	1927.6142760580042
NDN	1927.6142760580042
PDGFRB	1853.8750912640057
TARP	1849.6535288781317
FXYD3	1827.8999437816228
A2M	1812.084734039656
C1QC	1811.6554054281032
TMC4	1813.2208783165865
HLA.DRA	1764.9927738626798
SMOC2	1752.7625644479897
TRPV6	1744.7441454891054
MSMB	1743.8026143828902
RORC	1741.7843230941278
BZRAP1	1712.2722706506922
HSPB2.C11orf52	1701.5178097763103
EHF	1700.0103310438512
KLK4	1701.5178097763103
PLVAP	1699.1405368135006
C9orf152	1696.458850271296
TNFSF10	1682.442874716903
APOD	1665.7521723515138
ARHGDIB	1665.7521723515138
RAMP3	1657.1807142069397
SPARCL1	1652.5060913405262
WBSCR17	1636.6358136805143
KLHDC9	1632.7438786319221
ESRP1	1631.34835299808
THNSL2	1630.6892340831973
C11orf52	1630.8972195196602
UBA7	1630.6892340831973
THY1	1623.4975663093878
HCLS1	1619.327124977027
SETBP1	1615.4706379439372
FMOD	1608.6646337749446
SPDEF	1608.6646337749446
ISLR	1608.4380337148648
ACPP	1607.2910730482602
AGR2	1602.5900545828656
PPP1R1B	1590.164419545032
GIMAP1.GIMAP5	1587.5227923544066
RNASE1	1585.8261559059408
FBXL7	1585.8261559059408
PRR15L	1587.5227923544066
COL3A1	1584.2447021940177
ARHGAP6	1581.4616806077943
GIMAP5	1574.7454407580449
SOD3	1574.7454407580449
TYROBP	1567.8490642373308
CX3CL1	1566.40470769541
GMFG	1564.1168260905795
SLC44A4	1562.769685062951
PRSS8	1549.181780800046
DCN	1546.8900866222966
CNN1	1546.8303482988572
RNASE6	1546.8303482988572
HPN	1537.2840334551634
MCM4	-1541.353167043562
PALMD	1532.594631647428
DNMT1	-1524.969161491455
MIR5193	1514.438901688413
IRF6	1513.4201898956217
GIMAP4	1508.31664213769
EXO1	-1505.1851664660137
TSPAN8	1499.3036432285953
HELLS	-1503.09407671371
MCM10	-1502.0505008939451
FAM83F	1493.5479609535114
MIR3606	1491.5683622098434
SSRP1	-1488.9052840108707
LCP1	1469.8833062361891
SERPINA3	1466.6630780267124
CD34	1464.2737383125984
ANGPTL2	1461.2282772276403
LRRC32	1460.8394491029173
COL15A1	1458.6342925792067
CYGB	1453.6817359400586
SRGN	1452.6235558177664
CHRM1	1445.3505543466163
FAM84A	1440.357088042789
LCP2	1440.327591423223
AZGP1P1	1440.327591423223
PTGDS	1436.0613343209302
ARHGEF38	1434.9471315669375
AQP1	1432.8917396438824
PLA2G5	1432.4698431110069
CDH5	1428.218712384269
PNPLA7	1426.1376916042818
BRCA1	-1424.729008407471
TPGS2	-1418.691672719544
VWF	1413.7315267951994
SORBS2	1408.7888701765073
STAP2	1405.7986222284067
RGS1	1403.952434469734
KIAA1524	-1406.5444660644923
IRX2	1401.4908396117823
CD93	1400.551874618027
GJA4	1400.1623705829772
CDC6	-1402.5540313356964
ZNF135	1395.6636432776968
BCAS1	1393.4087074561296
HNMT	1391.8538451314744
MXRA5	1391.8538451314744
FAM3B	1389.9911741669985
HOXB13	1389.9911741669985
RRP1B	-1389.22939453098
TRIM22	1380.4450371016335
CCL14	1378.0185888234678
DES	1376.25193193907
CPNE4	1373.66268139195
RRM2	-1375.8041533372605
CBL	-1375.1585786840767
ADHFE1	1368.4539360760086
LUM	1365.5194971823541
NUP155	-1366.9717938605827
ARSD	1359.910096346145
RASL12	1359.2719875553096
HLA.DPB1	1357.5122785053172
MIR3185	1356.6878820922202
HGD	1352.3326063217462
SYNE4	1351.565258776946
CSF1R	1351.2037228430781
STEAP4	1349.7634438257003
LDB2	1346.8801529206257
COL16A1	1345.5862556037175
NEDD9	1344.8529078405222
WFDC1	1344.8529078405222
TFF3	1339.9533498507344
GGT5	1339.5317336238215
RFC5	-1340.8874094268735
ORC1	-1338.4055611434212
APOL3	1333.634895498713
TIE1	1333.2243218326835
PCP4	1331.7053293586619
SPI1	1331.0455021145008
TCEA3	1333.7490183655384
NCAPG2	-1327.615341708905
IGFBP7	1327.615341708905
NCAPD2	-1322.0182571446637
DTL	-1320.662532612009
CHAF1B	-1318.8599560758578
SPARC	1317.59357813404
MIR548AA1	1314.4425219303937
MIR548D1	1314.4425219303937
MAPK10	1312.0128458907216
MYBL2	-1313.0333499124183
EPN3	1309.182376797079
LOC255130	1308.0389785922307
KCNMB1	1308.357637844395
PTN	1307.7287804941486
GJB1	1305.7999535168356
MAP6	1302.4348927969577
FAM198B	1302.581812320881
CPLX3	1299.2544280143431
CCDC64B	1299.547484712191
TTF2	-1295.9092272678158
WDHD1	-1295.2139559088164
RBBP8NL	1293.458446383047
CLEC14A	1293.1113697121225
HLA.DPA1	1290.5589695613548
C1QTNF5	1288.8298217229178
MFRP	1288.8298217229178
IGF2BP2	-1288.7547483694755
NECTIN4	1287.4036759377693
PLA2G4F	1287.8343436725688
DHX58	1284.5680815203675
CYYR1	1280.2398977727917
NPY	1278.8388531032133
C5orf38	1278.1058717676528
PIFO	1276.8307482023888
